fecha;tecnologia;mwh
2026-03-02;Eólica;229661
2026-03-02;Solar fotovoltaica;108809
2026-03-02;Hidráulica;57226
2026-03-02;Nuclear;156976
2026-03-02;Ciclo combinado;82845
2026-03-02;Cogeneración;39172
2026-03-02;Carbón;3976
2026-03-02;Solar térmica;7795
2026-03-02;Otras renovables;9824
2026-03-02;Residuos no renovables;5178
2026-03-03;Eólica;207721
2026-03-03;Solar fotovoltaica;96996
2026-03-03;Hidráulica;62346
2026-03-03;Nuclear;143120
2026-03-03;Ciclo combinado;96634
2026-03-03;Cogeneración;41595
2026-03-03;Carbón;4037
2026-03-03;Solar térmica;7844
2026-03-03;Otras renovables;10063
2026-03-03;Residuos no renovables;5100
2026-03-04;Eólica;111082
2026-03-04;Solar fotovoltaica;124177
2026-03-04;Hidráulica;60767
2026-03-04;Nuclear;147368
2026-03-04;Ciclo combinado;143744
2026-03-04;Cogeneración;41287
2026-03-04;Carbón;4187
2026-03-04;Solar térmica;8133
2026-03-04;Otras renovables;9625
2026-03-04;Residuos no renovables;4854
2026-03-05;Eólica;71480
2026-03-05;Solar fotovoltaica;98401
2026-03-05;Hidráulica;57106
2026-03-05;Nuclear;146739
2026-03-05;Ciclo combinado;157675
2026-03-05;Cogeneración;41530
2026-03-05;Carbón;4019
2026-03-05;Solar térmica;8363
2026-03-05;Otras renovables;9741
2026-03-05;Residuos no renovables;5117
2026-03-06;Eólica;142265
2026-03-06;Solar fotovoltaica;110528
2026-03-06;Hidráulica;62362
2026-03-06;Nuclear;145779
2026-03-06;Ciclo combinado;132044
2026-03-06;Cogeneración;40975
2026-03-06;Carbón;3875
2026-03-06;Solar térmica;8217
2026-03-06;Otras renovables;10295
2026-03-06;Residuos no renovables;5007
2026-03-07;Eólica;259066
2026-03-07;Solar fotovoltaica;113129
2026-03-07;Hidráulica;61052
2026-03-07;Nuclear;147770
2026-03-07;Ciclo combinado;70669
2026-03-07;Cogeneración;39826
2026-03-07;Carbón;3964
2026-03-07;Solar térmica;7992
2026-03-07;Otras renovables;9593
2026-03-07;Residuos no renovables;5121
2026-03-08;Eólica;207762
2026-03-08;Solar fotovoltaica;106994
2026-03-08;Hidráulica;62061
2026-03-08;Nuclear;143832
2026-03-08;Ciclo combinado;88400
2026-03-08;Cogeneración;41236
2026-03-08;Carbón;4000
2026-03-08;Solar térmica;8228
2026-03-08;Otras renovables;10357
2026-03-08;Residuos no renovables;5065
